Heading,Sub Heading,Vacancy Link,Experience Needed,Salary
O365 SME - Chennai / Bangalore / Mumbai / Pune,ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,https://www.naukri.com/job-listings-o365-sme-chennai-bangalore-mumbai-pune-atos-global-it-solutions-and-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-8-to-13-years-280920001062?src=jobsearchDesk&sid=16015751009624871_2&xp=3&px=3,8-13 Yrs,Not disclosed
.Net Techincal/Solution Architect,Syntel Private Limited,https://www.naukri.com/job-listings-net-techincal-solution-architect-syntel-private-limited-chennai-pune-mumbai-bengaluru-bangalore-9-to-14-years-250920001149?src=jobsearchDesk&sid=16015751009624871_2&xp=4&px=3,9-14 Yrs,Not disclosed
Urgent hiring For SAP Sales - HANA in Atos India Pvt Ltd,ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,https://www.naukri.com/job-listings-urgent-hiring-for-sap-sales-hana-in-atos-india-pvt-ltd-atos-global-it-solutions-and-services-pvt-ltd-pune-mumbai-bengaluru-bangalore-10-to-19-years-230920001605?src=jobsearchDesk&sid=16015751009624871_2&xp=5&px=3,10-19 Yrs,Not disclosed
Atos-Synte is hiring For SAP BO BW professionals,Syntel Private Limited,https://www.naukri.com/job-listings-atos-synte-is-hiring-for-sap-bo-bw-professionals-syntel-private-limited-pune-mumbai-bengaluru-bangalore-12-to-17-years-220920005297?src=jobsearchDesk&sid=16015751009624871_2&xp=6&px=3,12-17 Yrs,Not disclosed
Principal Consultant Data Scientist,Atos Syntel Private Limited,https://www.naukri.com/job-listings-principal-consultant-data-scientist-atos-syntel-private-limited-chennai-pune-mumbai-bengaluru-bangalore-12-to-18-years-220719001543?src=jobsearchDesk&sid=16015751009624871_2&xp=7&px=3,12-18 Yrs,Not disclosed
SAP PI Consultant,ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,https://www.naukri.com/job-listings-sap-pi-consultant-atos-global-it-solutions-and-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-8-to-13-years-210920003786?src=jobsearchDesk&sid=16015751009624871_2&xp=8&px=3,8-13 Yrs,Not disclosed
Atos Syntel hiring For .Net Architect,Atos Syntel Private Limited,https://www.naukri.com/job-listings-atos-syntel-hiring-for-net-architect-atos-syntel-private-limited-chennai-pune-mumbai-bengaluru-bangalore-9-to-14-years-170920001801?src=jobsearchDesk&sid=16015751009624871_2&xp=9&px=3,9-14 Yrs,"12,00,000 - 22,00,000 PA."
Atos Syntel hiring For Java Architect,Atos Syntel Private Limited,https://www.naukri.com/job-listings-atos-syntel-hiring-for-java-architect-atos-syntel-private-limited-chennai-pune-mumbai-bengaluru-bangalore-9-to-14-years-160920005284?src=jobsearchDesk&sid=16015751009624871_2&xp=10&px=3,9-14 Yrs,Not disclosed
Technical Architect (Java),Oracle India Pvt. Ltd.,https://www.naukri.com/job-listings-technical-architect-java-oracle-india-pvt-ltd-pune-mumbai-bengaluru-bangalore-12-to-22-years-060820003191?src=jobsearchDesk&sid=16015751009624871_2&xp=11&px=3,12-22 Yrs,Not disclosed
Sales Manager - SME Agency- Bangalore location(Agency Channel),ICICI Lombard General Insurance Company Limited,https://www.naukri.com/job-listings-sales-manager-sme-agency-bangalore-location-agency-channel-icici-lombard-general-insurance-company-limited-pune-mumbai-5-to-10-years-160920003581?src=jobsearchDesk&sid=16015751009624871_2&xp=12&px=3,5-10 Yrs,"5,00,000 - 8,50,000 PA."
Store Visual Merchandiser For ZARA Store | Surat,Inditex,https://www.naukri.com/job-listings-store-visual-merchandiser-for-zara-store-surat-inditex-pune-mumbai-ahmedabad-1-to-2-years-140820000823?src=jobsearchDesk&sid=16015751009624871_2&xp=13&px=3,1-2 Yrs,Not disclosed
"MNC hiring Magento Developer @ Gurgaon, Mumbai & Pune",Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-mnc-hiring-magento-developer-gurgaon-mumbai-pune-virtusa-consulting-services-pvt-ltd-pune-mumbai-gurgaon-3-to-5-years-120820002621?src=jobsearchDesk&sid=16015751009624871_2&xp=14&px=3,3-5 Yrs,"3,00,000 - 8,00,000 PA."
"Lead Magento @ Mumbai , Gurgaon & Pune",Virtusa Consulting Services Pvt Ltd,https://www.naukri.com/job-listings-lead-magento-mumbai-gurgaon-pune-virtusa-consulting-services-pvt-ltd-pune-mumbai-gurgaon-6-to-8-years-110820003769?src=jobsearchDesk&sid=16015751009624871_2&xp=15&px=3,6-8 Yrs,Not disclosed
Hiring For Windows VMWare Admin Specialist L3,Wipro Limited,https://www.naukri.com/job-listings-hiring-for-windows-vmware-admin-specialist-l3-wipro-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-9-to-14-years-310820002223?src=jobsearchDesk&sid=16015751009624871_2&xp=16&px=3,9-14 Yrs,"9,00,000 - 13,00,000 PA."
Hiring For Active Directory Windows Admin Specialist L3,Wipro Limited,https://www.naukri.com/job-listings-hiring-for-active-directory-windows-admin-specialist-l3-wipro-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-9-to-14-years-310820002173?src=jobsearchDesk&sid=16015751009624871_2&xp=17&px=3,9-14 Yrs,"9,00,000 - 13,00,000 PA."
Freelance Content Writer,RR Donnelley India Outsource Private Limited,https://www.naukri.com/job-listings-freelance-content-writer-rr-donnelley-india-outsource-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-vasco-da-gama-panjim-panaji-hyderabad-secunderabad-kolkata-3-to-8-years-260820004927?src=jobsearchDesk&sid=16015751009624871_2&xp=18&px=3,3-8 Yrs,"4,00,000 - 9,00,000 PA."
Content Developer - OCC,Axis Bank Limited,https://www.naukri.com/job-listings-content-developer-occ-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-chandigarh-hyderabad-secunderabad-kolkata-2-to-7-years-260820003538?src=jobsearchDesk&sid=16015751009624871_2&xp=19&px=3,2-7 Yrs,Not disclosed
Talent Acquisition Sourcing Specialist,Axis Bank Limited,https://www.naukri.com/job-listings-talent-acquisition-sourcing-specialist-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-chandigarh-hyderabad-secunderabad-kolkata-3-to-8-years-260820003437?src=jobsearchDesk&sid=16015751009624871_2&xp=20&px=3,3-8 Yrs,Not disclosed
Learning & Development Trainer,Axis Bank Limited,https://www.naukri.com/job-listings-learning-development-trainer-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-chandigarh-hyderabad-secunderabad-kolkata-8-to-13-years-260820002993?src=jobsearchDesk&sid=16015751009624871_3&xp=1&px=4,8-13 Yrs,Not disclosed
Risk -Credit Monitoring - Stress Testing,Axis Bank Limited,https://www.naukri.com/job-listings-risk-credit-monitoring-stress-testing-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-chandigarh-hyderabad-secunderabad-kolkata-5-to-10-years-260820002777?src=jobsearchDesk&sid=16015751009624871_3&xp=2&px=4,5-10 Yrs,Not disclosed
Risk-Credit Monitoring-EWS,Axis Bank Limited,https://www.naukri.com/job-listings-risk-credit-monitoring-ews-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-chandigarh-hyderabad-secunderabad-kolkata-5-to-10-years-260820002725?src=jobsearchDesk&sid=16015751009624871_3&xp=3&px=4,5-10 Yrs,Not disclosed
Cloud Technology Architect - Infrastructure,GENPACT India Private Limited,https://www.naukri.com/job-listings-cloud-technology-architect-infrastructure-genpact-india-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-10-to-18-years-260820002680?src=jobsearchDesk&sid=16015751009624871_3&xp=4&px=4,10-18 Yrs,Not disclosed
UI/UX Developer- Siddhi,Axis Bank Limited,https://www.naukri.com/job-listings-ui-ux-developer-siddhi-axis-bank-limited-chennai-pune-delhi-ncr-mumbai-ahmedabad-bengaluru-bangalore-chandigarh-hyderabad-secunderabad-kolkata-5-to-10-years-260820002543?src=jobsearchDesk&sid=16015751009624871_3&xp=5&px=4,5-10 Yrs,Not disclosed
Cyber Forensics- Manager Role - KPMG - Bangalore Location,KPMG Global services private limited,https://www.naukri.com/job-listings-cyber-forensics-manager-role-kpmg-bangalore-location-kpmg-global-services-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-10-to-15-years-250820004894?src=jobsearchDesk&sid=16015751009624871_3&xp=6&px=4,10-15 Yrs,Not disclosed
Project Trainer(Powerpoint & Creative design) And more,Williams Lea India Private Limited,https://www.naukri.com/job-listings-project-trainer-powerpoint-creative-design-and-more-williams-lea-india-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-gurgaon-kolkata-8-to-13-years-220920002802?src=jobsearchDesk&sid=16015751009624871_3&xp=7&px=4,8-13 Yrs,Not disclosed
Oracle Fusion Financial Technical Consultant- Bangalore Location,KPMG Global services private limited,https://www.naukri.com/job-listings-oracle-fusion-financial-technical-consultant-bangalore-location-kpmg-global-services-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-4-to-9-years-210820003491?src=jobsearchDesk&sid=16015751009624871_3&xp=8&px=4,4-9 Yrs,Not disclosed
Technical Architect Application,GENPACT India Private Limited,https://www.naukri.com/job-listings-technical-architect-application-genpact-india-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-10-to-18-years-200820002839?src=jobsearchDesk&sid=16015751009624871_3&xp=9&px=4,10-18 Yrs,Not disclosed
Urgent Opening For Hyperion: KPMG Global Services: Bangalore,KPMG Global services private limited,https://www.naukri.com/job-listings-urgent-opening-for-hyperion-kpmg-global-services-bangalore-kpmg-global-services-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-3-to-7-years-200820001118?src=jobsearchDesk&sid=16015751009624871_3&xp=10&px=4,3-7 Yrs,"5,00,000 - 13,00,000 PA."
ODI-OUA Sr.Developer/Technical Architect/Sr.Technical Architect,Cognizant Technology Solutions India Ltd,https://www.naukri.com/job-listings-odi-oua-sr-developer-technical-architect-sr-technical-architect-cognizant-technology-solutions-india-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-7-to-12-years-180820904118?src=jobsearchDesk&sid=16015751009624871_3&xp=11&px=4,7-12 Yrs,Not disclosed
Obiee-OUA Senior Developer/Technical Architect,Cognizant Technology Solutions India Ltd,https://www.naukri.com/job-listings-obiee-oua-senior-developer-technical-architect-cognizant-technology-solutions-india-ltd-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-6-to-10-years-180820903909?src=jobsearchDesk&sid=16015751009624871_3&xp=12&px=4,6-10 Yrs,Not disclosed
"Mphasis is hiring For Instructional Designer Bangalore, Pune.",Mphasis Limited,https://www.naukri.com/job-listings-mphasis-is-hiring-for-instructional-designer-bangalore-pune-mphasis-limited-chennai-pune-mumbai-bengaluru-bangalore-hyderabad-secunderabad-2-to-6-years-180820001082?src=jobsearchDesk&sid=16015751009624871_3&xp=13&px=4,2-6 Yrs,"2,00,000 - 5,00,000 PA."
